prediction_period,team_id,scheduled_opponents,opponent_count,fixture_ids,validation_status
2025-04-14 00:00:00+00:00,team:lyon,"[""team:100_thieves"",""team:flyquest""]",2,"[""fixture:3354006664a46682404c"",""fixture:b0c1d70ec053ac45d38b""]",PASS
2025-04-14 00:00:00+00:00,team:shopify_rebellion,"[""team:disguised"",""team:team_liquid""]",2,"[""fixture:74fed88495dbe5ff65c8"",""fixture:7ecb88d15a5050bef56d""]",PASS
2025-04-14 00:00:00+00:00,team:team_liquid,"[""team:cloud9"",""team:shopify_rebellion""]",2,"[""fixture:7ecb88d15a5050bef56d"",""fixture:a16fe5525bf6c1bc35c9""]",PASS
2025-04-21 00:00:00+00:00,team:100_thieves,"[""team:flyquest"",""team:shopify_rebellion""]",2,"[""fixture:1f4bfab497a6b3df6b57"",""fixture:60d62167578cb6789d52""]",PASS
2025-04-21 00:00:00+00:00,team:cloud9,"[""team:disguised"",""team:lyon""]",2,"[""fixture:5181b209d3e0adaa1611"",""fixture:d3b7fa6aaa1b7ad4302e""]",PASS
2025-04-21 00:00:00+00:00,team:dignitas,"[""team:flyquest"",""team:shopify_rebellion""]",2,"[""fixture:0e5f0a385975eefdd04a"",""fixture:bf4fee88cbbbd1b9683c""]",PASS
2025-04-21 00:00:00+00:00,team:disguised,"[""team:cloud9"",""team:team_liquid""]",2,"[""fixture:5181b209d3e0adaa1611"",""fixture:eb08085e5c081b7ab45e""]",PASS
2025-04-21 00:00:00+00:00,team:flyquest,"[""team:100_thieves"",""team:dignitas""]",2,"[""fixture:0e5f0a385975eefdd04a"",""fixture:60d62167578cb6789d52""]",PASS
2025-04-21 00:00:00+00:00,team:lyon,"[""team:cloud9"",""team:team_liquid""]",2,"[""fixture:006cc958630c4d782f89"",""fixture:d3b7fa6aaa1b7ad4302e""]",PASS
2025-04-21 00:00:00+00:00,team:shopify_rebellion,"[""team:100_thieves"",""team:dignitas""]",2,"[""fixture:1f4bfab497a6b3df6b57"",""fixture:bf4fee88cbbbd1b9683c""]",PASS
2025-04-21 00:00:00+00:00,team:team_liquid,"[""team:disguised"",""team:lyon""]",2,"[""fixture:006cc958630c4d782f89"",""fixture:eb08085e5c081b7ab45e""]",PASS
2025-04-28 00:00:00+00:00,team:100_thieves,"[""team:dignitas""]",1,"[""fixture:9f08012e8148a1d79615""]",PASS
2025-04-28 00:00:00+00:00,team:cloud9,"[""team:lyon""]",1,"[""fixture:3d300f1eb336aab222c1""]",PASS
2025-04-28 00:00:00+00:00,team:dignitas,"[""team:100_thieves""]",1,"[""fixture:9f08012e8148a1d79615""]",PASS
2025-04-28 00:00:00+00:00,team:disguised,"[""team:team_liquid""]",1,"[""fixture:b73a83a8eabb9ebc9704""]",PASS
2025-04-28 00:00:00+00:00,team:flyquest,"[""team:shopify_rebellion""]",1,"[""fixture:a5a60e40e4bca0c283e7""]",PASS
2025-04-28 00:00:00+00:00,team:lyon,"[""team:cloud9""]",1,"[""fixture:3d300f1eb336aab222c1""]",PASS
2025-04-28 00:00:00+00:00,team:shopify_rebellion,"[""team:flyquest""]",1,"[""fixture:a5a60e40e4bca0c283e7""]",PASS
2025-04-28 00:00:00+00:00,team:team_liquid,"[""team:disguised""]",1,"[""fixture:b73a83a8eabb9ebc9704""]",PASS
2025-05-05 00:00:00+00:00,team:100_thieves,"[""team:shopify_rebellion""]",1,"[""fixture:4be1c372502e6b382f77""]",PASS
2025-05-05 00:00:00+00:00,team:cloud9,"[""team:team_liquid""]",1,"[""fixture:17e23f5edd548a51bb64""]",PASS
2025-05-05 00:00:00+00:00,team:dignitas,"[""team:flyquest""]",1,"[""fixture:7b628b122547718dd7b9""]",PASS
2025-05-05 00:00:00+00:00,team:disguised,"[""team:lyon""]",1,"[""fixture:8e229cd7a1ecc1ea083c""]",PASS
2025-05-05 00:00:00+00:00,team:flyquest,"[""team:dignitas""]",1,"[""fixture:7b628b122547718dd7b9""]",PASS
2025-05-05 00:00:00+00:00,team:lyon,"[""team:disguised""]",1,"[""fixture:8e229cd7a1ecc1ea083c""]",PASS
2025-05-05 00:00:00+00:00,team:shopify_rebellion,"[""team:100_thieves""]",1,"[""fixture:4be1c372502e6b382f77""]",PASS
2025-05-05 00:00:00+00:00,team:team_liquid,"[""team:cloud9""]",1,"[""fixture:17e23f5edd548a51bb64""]",PASS
2025-05-12 00:00:00+00:00,team:100_thieves,"[""team:disguised""]",1,"[""fixture:bdf16feac883aa2c5c33""]",PASS
2025-05-12 00:00:00+00:00,team:cloud9,"[""team:flyquest""]",1,"[""fixture:eab23250384bf77866a0""]",PASS
2025-05-12 00:00:00+00:00,team:dignitas,"[""team:lyon""]",1,"[""fixture:9e393882a067a92cbdee""]",PASS
2025-05-12 00:00:00+00:00,team:disguised,"[""team:100_thieves""]",1,"[""fixture:bdf16feac883aa2c5c33""]",PASS
2025-05-12 00:00:00+00:00,team:flyquest,"[""team:cloud9""]",1,"[""fixture:eab23250384bf77866a0""]",PASS
2025-05-12 00:00:00+00:00,team:lyon,"[""team:dignitas""]",1,"[""fixture:9e393882a067a92cbdee""]",PASS
2025-05-12 00:00:00+00:00,team:shopify_rebellion,"[""team:team_liquid""]",1,"[""fixture:ae202fda51c975fb2cf7""]",PASS
2025-05-12 00:00:00+00:00,team:team_liquid,"[""team:shopify_rebellion""]",1,"[""fixture:ae202fda51c975fb2cf7""]",PASS
